Name,Status,Priority,Assigned,Action Type,Due
爭議處理狀態追蹤,Not started,,,,
爭議詳情與證據展示,Not started,,,,
爭議發起介面,Not started,,,,
價格區間視覺化 (箱形圖),Not started,,,,
案主專案管理儀表板,Not started,,,,
接案者 KPI 儀表板,Not started,,,,
專案進度儀表板,Not started,,,,
驗收確認介面,Not started,,,,
交付物上傳介面,Not started,,,,
託管付款流程介面,Not started,,,,
里程碑設定介面,Not started,,,,
候選人選擇介面 (案主視角),Not started,,,,
投標提案介面,Not started,,,,
專案詳情頁面,Not started,,,,
專案列表頁面 (接案者視角),Not started,,,,
專案發布表單 (含 AI 需求導引),Not started,,,,
NextAuth 整合,Not started,,,,
用戶設定頁面,Not started,,,,
用戶個人檔案頁面,Not started,,,,
登入頁面 (Email + OAuth),Not started,,,,
註冊頁面,Not started,,,,
響應式設計方案,Not started,,,,
"基礎組件庫開發 (Button, Input, Card, Modal)",Not started,,,,
UI 設計系統定義 (Tailwind/Shadcn),Not started,,,,
Next.js 14 專案初始化,Not started,,,,
AI 價格談判輔助,Not started,,,,
AI 需求導引 v1 - 結構化需求產出,Not started,,,,
AI 需求導引 v1 - 需求模糊語言檢測,Not started,,,,
證據鏈管理 API,Not started,,,,
爭議升級流程,Not started,,,,
自動裁決規則引擎,Not started,,,,
爭議發起 API,Not started,,,,
Dispute 資料模型實作,Not started,,,,
價格區間建議 API (市場數據),Not started,,,,
KPI 儀表板 API,Not started,,,,
一次驗收率 (First-Pass Acceptance) 計算,Not started,,,,
準時率 (On-Time Rate) 計算,Not started,,,,
KPI 計算邏輯設計,Not started,,,,
驗收/退回流程 API,Not started,,,,
交付物版本控制,Not started,,,,
SHA-256 雜湊值計算與存儲,Not started,,,,
檔案上傳 API (S3 整合),Not started,,,,
Deliverable 資料模型實作,Not started,,,,
金流對帳機制,Not started,,,,
金流 Webhook 處理,Not started,,,,
退款流程實作,Not started,,,,
放款流程實作 (手動代理託管),Not started,,,,
託管收款流程實作,Not started,,,,
綠界 ECPay API 整合研究,Not started,,,,
Payment 資料模型實作,Not started,,,,
超時自動處理邏輯 (7天未驗收→自動放款),Not started,,,,
驗收標準強制機制,Not started,,,,
里程碑狀態機 (pending→funded→in_progress→submitted→approved→released),Not started,,,,
里程碑 CRUD API,Not started,,,,
Milestone 資料模型實作,Not started,,,,
接案者選擇與合作確認流程,Not started,,,,
專案搜尋與過濾 API,Not started,,,,
Proposal 資料模型與 API (接案者投標),Not started,,,,
專案狀態機實作 (draft→open→in_progress→completed),Not started,,,,
專案 CRUD API,Not started,,,,
Project 資料模型實作,Not started,,,,
密碼重設流程,Not started,,,,
Email 驗證流程,Not started,,,,
角色權限控制 (client/freelancer/both),Not started,,,,
OAuth 整合 (Google),Not started,,,,
JWT Token 機制,Not started,,,,
Email 註冊/登入 API,Not started,,,,
User 資料模型實作,Not started,,,,
Swagger API 文檔設置,Not started,,,,
日誌系統設置,Not started,,,,
配置管理系統 (環境變數),Not started,,,,
Redis 連接設置,Not started,,,,
PostgreSQL 資料庫連接,Not started,,,,
框架設置與配置 (模組、中間件),Not started,,,,
NestJS 專案初始化,Not started,,,,
維護手冊,Not started,,,,
使用者手冊,Not started,,,,
技術文檔,Not started,,,,
監控與維護,Not started,,,,
生產部署,Not started,,,,
部署環境準備,Not started,,,,
效能與安全測試,Not started,,,,
端到端測試,Not started,,,,
整合測試,Not started,,,,
單元測試,Not started,,,,
